english;polish
Antichrist;Antychryst
anticipate;przewidywać
anticipation;przewidywanie
anticlimax;zawód
anti-clockwise;przeciwny do ruchu wskazówek zegara
antics;zabawy
anticyclone;obszar wysokiego ciśnienia
antidote;odtrutka
antifreeze;substancja przeciw zamarzaniu
antipathy;antypatia
antiquarian;antykwaryczny
antiquated;przestarzały
antique;antyk
antiquity;antyk
anti-Semitism;antysemityzm
antiseptic;środek odkażający
anti-social;nietowarzyski
antithesis;przeciwieństwo
antler;poroże
Antwerp;Antwerpia
anus;odbyt
anvil;kowadło
anxiety;niepokój
anxious;zaniepokojony
anyhow;jakkolwiek
anyone;nikt
anything;cokolwiek
anyway;w każdym razie
anywhere;gdziekolwiek
apart;z dala
apartment;mieszkanie
apathetic;apatyczny
apathy;apatia
ape;małpa człekokształtna
aperitif;aperitif
aperture;otwór
apex;wierzchołek
aphorism;aforyzm
aphrodisiac;afrodyzjak
apiece;na osobę
aplomb;pewność siebie
apolitical;apolityczny
apologetic;przepraszający
apologize;prosić o wybaczenie
apology;prośba o wybaczenie
apoplexy;apopleksja
apostle;apostoł
app.;dodatek
appal;zatrważać
appalling;zatrważający
apparatus;urządzenie
apparent;pozorny
apparition;zjawa
appeal;ubiegać się
appealing;atrakcyjny
appear;pojawiać się
appearance;pojawienie się
appease;łagodzić
append;dołączać
appendicitis;zapalenie wyrostka robaczkowego
appetite;apetyt
appetizing;apetyczny
applaud;oklaskiwać
applause;aplauz
apple;jabłko
appliance;urządzenie
applicable;odnoszący się
applicant;kandydat
application;podanie
applied;stosowany
apply;zgłaszać swoją kandydaturę
appoint;mianować
appointment;mianowanie
appraisal;ocena
appraise;oceniać
appreciable;znaczny
appreciate;doceniać
appreciation;uznanie
appreciative;rozumiejący
apprehension;przeczucie
apprehensive;pełen obawy
apprentice;terminator
apprenticeship;praktyka
appro;zatwierdzenie
approach;zbliżać się
approachable;przystępny
approbation;aprobata
appropriate;stosowny
approval;zgoda
approve;pochwalać
approximate;przybliżony
approximation;przybliżenie
Apr.;kwiecień
apricot;morela
April;kwiecień
apron;fartuch
apt;trafny
aptitude;zdolność
aquarium;akwarium
Aquarius;Wodnik
aquatic;wodny
aqueduct;akwedukt
Arab;Arab
Arabia;Arabia
Arabian;arabski
Arabic;arabski
arable;orny
arbiter;arbiter
arbitrary;arbitralny
arbitrate;rozstrzygać
arbitration;arbitraż
arc;łuk
arcade;podcienie
arch;łuk
archaeologist;archeolog
archaeology;archeologia
archaic;archaiczny
archbishop;arcybiskup
archer;łucznik
archery;łucznictwo
archetype;archetyp
archipelago;archipelag
architect;architekt
architecture;architektura
archive;archiwum
arctic;arktyczny
ardent;zapalony
ardour;zapał
arduous;nużący
area;obszar
arena;arena
Argentina;Argentyna
Argentine;Argentyna
Argentinian;argentyński
arguable;dyskusyjny
argue;kłócić się
argument;kłótnia
argumentative;kłótliwy
aria;aria
arid;jałowy
Aries;Baran
arise;powstawać
aristocracy;arystokracja
aristocrat;arystokrata
arithmetic;arytmetyka
Arizona;Arizona
ark;arka
Arkansas;Arkansas
arm;ramię
armament;uzbrojenie
armchair;fotel
armed;uzbrojony
Armenia;Armenia
Armenian;ormiański
armful;naręcze
armistice;zawieszenie broni
armour;pancerz
armoured;pancerny
armpit;pacha
army;wojsko
aroma;aromat
aromatic;aromatyczny
arousal;obudzenie
arouse;pobudzać
arrange;organizować
array;zgromadzenie
arrears;długi
arrest;aresztowanie
arrival;przybycie
arrive;przybywać
arrogance;arogancja
arrogant;arogancki
arrow;strzała
arse;dupa
arsenic;arszenik
arson;umyślne podpalenie
art;sztuka
artefact;artefakt
artery;tętnica
artful;zręczny
arthritis;artretyzm
artichoke;karczoch
article;artykuł
articulate;wymowny
articulated;artykułowany
articulation;wyartykułowanie
artificial;sztuczny
artificiality;sztuczność
artillery;artyleria
artisan;rzemieślnik
artist;artysta
artistic;artystyczny
artistry;sztuka
artless;szczery
arty;interesujący się sztuką
asbestos;azbest
ascend;wznosić się
ascendancy;przewaga
ascent;wspinaczka
ascertain;stwierdzać
ascetic;ascetyczny
ascribe;przypisywać
asexual;bezpłciowy
ash;popiół
ashamed;wstydzić się
ashore;na brzeg
ashtray;popielniczka
Asia;Azja
Asian;azjatycki
aside;na bok
ask;pytać
askew;skrzywiony
asleep;spać
asp;osika
asparagus;asparagus
aspect;aspekt
aspersions;oczerniać
asphalt;asfalt
asphyxiate;dusić się
aspirant;aspirować do
aspiration;aspiracja
aspire;dążyć
aspirin;aspiryna
aspiring;ambitny
ass;osioł
assail;atakować
assailant;napastnik
assassin;morderca
assassinate;mordować
assassination;morderstwo
assault;natarcie
assemble;gromadzić się
assembly;zgromadzenie
assent;zgoda
assert;utwierdzać się
assess;oceniać
assessment;ocena
asset;atut
assiduous;pilny
assign;wyznaczać
assignment;zadanie
assimilate;przyswajać
assimilation;przyswajanie
assist;pomagać
assistance;pomoc
assistant;wice-
assoc.;stowarzyszenie
associate;kojarzyć
association;stowarzyszenie
assorted;mieszany
assortment;wybór
asst.;zastępca
assume;zakładać
assuming;przyjmując
assumption;założenie
assurance;zapewnienie
assure;zapewniać
assured;pewny siebie
asterisk;gwiazdka
astern;na rufie
asthma;astma
asthmatic;astmatyczny
astir;wzburzony
astonish;zadziwiać
astonishment;zdumienie
astound;zdumiewać
astray;prowadzić kogoś na manowce
astride;okrakiem
astringent;środek ściągający
astrologer;astrolog
astrology;astrologia
astronaut;astronauta
astronomer;astronom
astronomical;astronomiczny
astronomy;astronomia
astute;zręczny
asylum;szpital psychiatryczny
at;przy
atheism;ateizm
athlete;lekkoatleta
athletic;atletyczny
athletics;lekka atletyka
Atlantic;atlantycki
atlas;atlas
atmosphere;atmosfera
atmospheric;atmosferyczny
atom;atom
atomic;atomowy
atone;odpokutowywać
atrocious;okropny
atrocity;bestialstwo
attach;przyłączać
attached;przywiązany
attachment;przywiązanie
attack;napad
attain;osiągać
attainable;osiągalny
attainment;osiągnięcie
attempt;usiłować
attempted;usiłowany
attend;uczestniczyć
attendance;uczestnictwo
attendant;obsługujący
attention;uwaga
attentive;uważny
attest;poświadczać
attested;atestowany
attic;mansarda
attire;odzienie
attitude;postawa
attorney;adwokat
attract;przyciągać
attraction;urok
attractive;atrakcyjny
attribute;przypisywać
aubergine;bakłażan
auburn;kasztanowy
auction;licytacja
auctioneer;licytator
audacious;śmiały
audacity;czelność
audible;słyszalny
audience;widownia
audio;dźwiękowy
audio-visual;audiowizualny
audit;badać bilans
audition;próba
auditor;biegły księgowy
auditorium;widownia
Aug.;sierpień
augment;zwiększać
augur;wróżyć
August;sierpień
august;dostojny
aunt;ciotka
auntie;ciocia
au pair;
aura;aura
aural;dźwiękowy
auspices;pod auspicjami
auspicious;pomyślny
Aussie;Australijczyk
austere;surowy
austerity;surowość
Australia;Australia
Australian;australijski
Austria;Austria
Austrian;austriacki
authentic;autentyczny
authenticate;potwierdzać autentyczność
authenticity;autentyczność
author;autor
authoritarian;apodyktyczny
authoritative;autorytatywny
authority;władze
authorization;upoważnienie
authorize;zatwierdzać
auto;samochód
autobiographical;autobiograficzny
autobiography;autobiografia
autocracy;autokracja
autograph;autograf
automate;automatyzować
automatic;automatyczny
automation;automatyzacja
automaton;automat
automobile;samochód
autonomous;autonomiczny
autonomy;autonomia
autopsy;sekcja zwłok
autumn;jesień
autumnal;jesienny
auxiliary;pracownik pomocniczy
AV;audio-wizualny
av.;ul.
avail;skorzystać z czegoś
availability;dostępność
available;dostępny
avalanche;lawina
avant-garde;awangardowy
avarice;chciwość
avaricious;chciwy
ave.;ul.
avenge;mścić
avenue;aleja
average;przeciętna
averse;niechętny
aversion;wstręt
avert;zapobiegać
aviary;ptaszarnia
aviation;lotnictwo
avid;zapalony
avocado;awokado
avoid;unikać
avoidable;do uniknięcia
avoidance;uchylanie się
avowal;deklaracja
avowed;zdeklarowany
avuncular;ojcowski
await;oczekiwać
awake;budzić się
awaken;rozbudzać
awakening;przebudzenie
award;nagroda
away;od
awe;trwoga
awed;pełen respektu
awe-inspiring;wzbudzający respekt
awesome;straszliwy
awe-struck;przytłoczony
awful;okropny
awkward;niezręczny
awning;markiza
awry;przekrzywiony
axe;topór
axiom;aksjomat
axiomatic;aksjomatyczne
axis;oś
axle;oś
aye;tak
Azerbaijan;Azerbejdżan
Azerbaijani;azerbejdżański
azure;błękitny
