english;polish
AMA;Amerykańskie Towarzystwo Medyczne
amalgamate;łączyć się
amass;zgromadzić
amateur;hobbista
amateurish;domorosły
amaze;zadziwiać
amazement;zdumienie
amazing;zdumiewający
Amazon;Amazonka
ambassador;ambasador
amber;bursztyn
ambidextrous;oburęczny
ambiguity;niejednoznaczność
ambiguous;dwuznaczny
ambition;ambicja
ambitious;przebojowy
ambivalent;ambiwalentny
amble;przechadzać się
ambulance;karetka
ambush;zasadzka
ameliorate;ulepszać
amen;amen
amenable;skłonny
amend;poprawiać
amendment;poprawka
amenity;udogodnienie
America;Ameryka
American;amerykański
amiable;przyjazny
amicable;przyjacielski
amid;pośród
amiss;nie w porządku
ammonia;amoniak
ammunition;amunicja
amnesia;amnezja
amnesty;amnestia
among;pomiędzy
amoral;amoralny
amorous;erotyczny
amorphous;amorficzny
amount;ilość
amp;amper
amphibian;płaz
amphibious;ziemno-wodny
amphitheatre;amfiteatr
ample;duży
amplification;wzmocnienie
amplifier;wzmacniacz
amplify;wzmacniać
amply;obszernie
amputate;amputować
amputation;amputacja
amuse;rozbawiać
amused;rozbawiony
amusement;rozbawienie
amusing;zabawny
anachronism;anachronizm
anachronistic;anachroniczny
anaemia;anemia
anaemic;cierpiący na anemię
anaesthesia;anestezja
anaesthetic;środek znieczulający
anal;odbytowy
analgesic;środek przeciwbólowy
analogous;analogiczny
analogy;analogia
analyse;analizować
analysis;analiza
analyst;analityk
analytic;analityczny
anarchist;anarchista
anarchy;anarchia
anathema;klątwa
anatomical;anatomiczny
anatomy;anatomia
ancestor;przodek
ancestral;rodowy
ancestry;ród
anchor;kotwica
anchovy;sardela
ancient;starożytny
ancillary;pomocniczy
and;i
anecdote;anegdota
anemone;anemon
anew;od nowa
angel;anioł
angelic;anielski
anger;gniew
angle;kąt
angler;wędkarz
Anglican;anglikański
angry;zły
anguish;cierpienie
angular;kanciasty
animal;zwierzę
animate;ożywiony
animated;ożywiony
animation;ożywienie
animosity;niechęć
aniseed;anyż
ankle;kostka
annals;w annałach czegoś
annex;skrzydło
annexation;aneksja
annihilate;unicestwiać
annihilation;unicestwienie
anniversary;rocznica
announce;ogłaszać
announcement;zawiadomienie
announcer;spiker
annoy;złościć
annoyance;irytacja
annual;coroczny
annul;anulować
anoint;namaszczać
anomalous;nieprawidłowy
anomaly;anomalia
anon.;anonim
anonymity;anonimowość
anonymous;anonimowy
anorak;skafander
another;następny
ans.;odpowiedź
ANSI;Narodowy Amerykański Instytut Normalizacyjny
answer;odpowiadać
answerable;odpowiedzialny
ant;mrówka
antagonism;antagonism
antagonist;przeciwnik
antagonistic;przeciwny
antagonize;zrażać sobie
antarctic;antarktyczny
Antarctica;Antarktyda
antecedent;przodek
antelope;antylopa
antenatal;przedporodowy
anthem;hymn
anthology;antologia
anthropologist;antropolog
anthropology;antropologia
antibiotic;antybiotyk
Antichrist;Antychryst
anticipate;przewidywać
anticipation;przewidywanie
anticlimax;zawód
anti-clockwise;przeciwny do ruchu wskazówek zegara
antics;zabawy
anticyclone;obszar wysokiego ciśnienia
antidote;odtrutka
antifreeze;substancja przeciw zamarzaniu
antipathy;antypatia
antiquarian;antykwaryczny
antiquated;przestarzały
antique;antyk
antiquity;antyk
anti-Semitism;antysemityzm
antiseptic;środek odkażający
anti-social;nietowarzyski
antithesis;przeciwieństwo
antler;poroże
Antwerp;Antwerpia
anus;odbyt
anvil;kowadło
anxiety;niepokój
anxious;zaniepokojony
anyhow;jakkolwiek
anyone;nikt
anything;cokolwiek
anyway;w każdym razie
anywhere;gdziekolwiek
apart;z dala
apartment;mieszkanie
apathetic;apatyczny
apathy;apatia
ape;małpa człekokształtna
aperitif;aperitif
aperture;otwór
apex;wierzchołek
aphorism;aforyzm
aphrodisiac;afrodyzjak
apiece;na osobę
aplomb;pewność siebie
apolitical;apolityczny
apologetic;przepraszający
apologize;prosić o wybaczenie
apology;prośba o wybaczenie
apoplexy;apopleksja
apostle;apostoł
app.;dodatek
appal;zatrważać
appalling;zatrważający
apparatus;urządzenie
apparent;pozorny
apparition;zjawa
appeal;ubiegać się
appealing;atrakcyjny
appear;pojawiać się
appearance;pojawienie się
appease;łagodzić
append;dołączać
appendicitis;zapalenie wyrostka robaczkowego
appetite;apetyt
appetizing;apetyczny
applaud;oklaskiwać
applause;aplauz
apple;jabłko
appliance;urządzenie
applicable;odnoszący się
applicant;kandydat
application;podanie
applied;stosowany
apply;zgłaszać swoją kandydaturę
appoint;mianować
appointment;mianowanie
appraisal;ocena
appraise;oceniać
appreciable;znaczny
appreciate;doceniać
appreciation;uznanie
appreciative;rozumiejący
apprehension;przeczucie
apprehensive;pełen obawy
apprentice;terminator
apprenticeship;praktyka
appro;zatwierdzenie
approach;zbliżać się
approachable;przystępny
approbation;aprobata
appropriate;stosowny
approval;zgoda
approve;pochwalać
approximate;przybliżony
approximation;przybliżenie
Apr.;kwiecień
apricot;morela
April;kwiecień
apron;fartuch
apt;trafny
aptitude;zdolność
aquarium;akwarium
Aquarius;Wodnik
aquatic;wodny
aqueduct;akwedukt
Arab;Arab
Arabia;Arabia
Arabian;arabski
Arabic;arabski
arable;orny
arbiter;arbiter
arbitrary;arbitralny
arbitrate;rozstrzygać
arbitration;arbitraż
arc;łuk
arcade;podcienie
arch;łuk
archaeologist;archeolog
archaeology;archeologia
archaic;archaiczny
archbishop;arcybiskup
archer;łucznik
archery;łucznictwo
archetype;archetyp
archipelago;archipelag
architect;architekt
architecture;architektura
archive;archiwum
arctic;arktyczny
ardent;zapalony
ardour;zapał
arduous;nużący
area;obszar
arena;arena
Argentina;Argentyna
Argentine;Argentyna
Argentinian;argentyński
arguable;dyskusyjny
argue;kłócić się
argument;kłótnia
argumentative;kłótliwy
aria;aria
arid;jałowy
Aries;Baran
arise;powstawać
aristocracy;arystokracja
aristocrat;arystokrata
arithmetic;arytmetyka
Arizona;Arizona
ark;arka
Arkansas;Arkansas
arm;ramię
armament;uzbrojenie
armchair;fotel
armed;uzbrojony
Armenia;Armenia
Armenian;ormiański
armful;naręcze
armistice;zawieszenie broni
armour;pancerz
armoured;pancerny
armpit;pacha
army;wojsko
aroma;aromat
aromatic;aromatyczny
arousal;obudzenie
arouse;pobudzać
arrange;organizować
array;zgromadzenie
arrears;długi
arrest;aresztowanie
arrival;przybycie
arrive;przybywać
arrogance;arogancja
arrogant;arogancki
arrow;strzała
arse;dupa
arsenic;arszenik
arson;umyślne podpalenie
art;sztuka
artefact;artefakt
artery;tętnica
artful;zręczny
arthritis;artretyzm
artichoke;karczoch
article;artykuł
articulate;wymowny
articulated;artykułowany
articulation;wyartykułowanie
artificial;sztuczny
artificiality;sztuczność
artillery;artyleria
artisan;rzemieślnik
artist;artysta
artistic;artystyczny
artistry;sztuka
artless;szczery
arty;interesujący się sztuką
asbestos;azbest
ascend;wznosić się
ascendancy;przewaga
ascent;wspinaczka
ascertain;stwierdzać
ascetic;ascetyczny
ascribe;przypisywać
asexual;bezpłciowy
ash;popiół
ashamed;wstydzić się
ashore;na brzeg
ashtray;popielniczka
Asia;Azja
Asian;azjatycki
aside;na bok
ask;pytać
askew;skrzywiony
asleep;spać
asp;osika
asparagus;asparagus
aspect;aspekt
aspersions;oczerniać
asphalt;asfalt
asphyxiate;dusić się
aspirant;aspirować do
aspiration;aspiracja
aspire;dążyć
aspirin;aspiryna
aspiring;ambitny
ass;osioł
assail;atakować
assailant;napastnik
assassin;morderca
assassinate;mordować
assassination;morderstwo
assault;natarcie
assemble;gromadzić się
assembly;zgromadzenie
assent;zgoda
assert;utwierdzać się
assess;oceniać
assessment;ocena
asset;atut
assiduous;pilny
assign;wyznaczać
assignment;zadanie
assimilate;przyswajać
assimilation;przyswajanie
assist;pomagać
assistance;pomoc
assistant;wice-
assoc.;stowarzyszenie
associate;kojarzyć
association;stowarzyszenie
assorted;mieszany
assortment;wybór
asst.;zastępca
assume;zakładać
assuming;przyjmując
assumption;założenie
assurance;zapewnienie
assure;zapewniać
assured;pewny siebie
asterisk;gwiazdka
astern;na rufie
asthma;astma
asthmatic;astmatyczny
astir;wzburzony
astonish;zadziwiać
astonishment;zdumienie
astound;zdumiewać
astray;prowadzić kogoś na manowce
astride;okrakiem
astringent;środek ściągający
astrologer;astrolog
astrology;astrologia
astronaut;astronauta
astronomer;astronom
astronomical;astronomiczny
astronomy;astronomia
astute;zręczny
asylum;szpital psychiatryczny
at;przy
atheism;ateizm
athlete;lekkoatleta
athletic;atletyczny
athletics;lekka atletyka
Atlantic;atlantycki
atlas;atlas
atmosphere;atmosfera
atmospheric;atmosferyczny
atom;atom
atomic;atomowy
atone;odpokutowywać
atrocious;okropny
atrocity;bestialstwo
attach;przyłączać
attached;przywiązany
attachment;przywiązanie
attack;napad
attain;osiągać
attainable;osiągalny
attainment;osiągnięcie
attempt;usiłować
attempted;usiłowany
attend;uczestniczyć
attendance;uczestnictwo
attendant;obsługujący
attention;uwaga
attentive;uważny
attest;poświadczać
attested;atestowany
attic;mansarda
attire;odzienie
attitude;postawa
attorney;adwokat
attract;przyciągać
attraction;urok
attractive;atrakcyjny
attribute;przypisywać
aubergine;bakłażan
auburn;kasztanowy
auction;licytacja
auctioneer;licytator
audacious;śmiały
audacity;czelność
audible;słyszalny
audience;widownia
audio;dźwiękowy
audio-visual;audiowizualny
audit;badać bilans
audition;próba
auditor;biegły księgowy
auditorium;widownia
Aug.;sierpień
augment;zwiększać
augur;wróżyć
August;sierpień
august;dostojny
aunt;ciotka
auntie;ciocia
au pair;
aura;aura
aural;dźwiękowy
auspices;pod auspicjami
auspicious;pomyślny
Aussie;Australijczyk
austere;surowy
austerity;surowość
Australia;Australia
Australian;australijski
Austria;Austria
Austrian;austriacki
authentic;autentyczny
authenticate;potwierdzać autentyczność
authenticity;autentyczność
author;autor
authoritarian;apodyktyczny
authoritative;autorytatywny
authority;władze
authorization;upoważnienie
authorize;zatwierdzać
auto;samochód
autobiographical;autobiograficzny
autobiography;autobiografia
autocracy;autokracja
autograph;autograf
automate;automatyzować
automatic;automatyczny
automation;automatyzacja
automaton;automat
automobile;samochód
autonomous;autonomiczny
autonomy;autonomia
autopsy;sekcja zwłok
autumn;jesień
autumnal;jesienny
auxiliary;pracownik pomocniczy
AV, Audio-Visual;audio-wizualny
av.;ul.
avail;skorzystać z czegoś
availability;dostępność
available;dostępny
avalanche;lawina
avant-garde;awangardowy
avarice;chciwość
avaricious;chciwy
ave.;ul.
avenge;mścić
avenue;aleja
average;przeciętna
averse;niechętny
aversion;wstręt
avert;zapobiegać
aviary;ptaszarnia
aviation;lotnictwo
avid;zapalony
avocado;awokado
avoid;unikać
avoidable;do uniknięcia
avoidance;uchylanie się
avowal;deklaracja
avowed;zdeklarowany
avuncular;ojcowski
await;oczekiwać
awake;budzić się
awaken;rozbudzać
awakening;przebudzenie
award;nagroda
away;od
awe;trwoga
awed;pełen respektu
awe-inspiring;wzbudzający respekt
awesome;straszliwy
awe-struck;przytłoczony
awful;okropny
awkward;niezręczny
awning;markiza
awry;przekrzywiony
axe;topór
axiom;aksjomat
axiomatic;aksjomatyczne
axis;oś
axle;oś
aye;tak
Azerbaijan;Azerbejdżan
Azerbaijani;azerbejdżański
azure;błękitny
Bachelor;bakałarz
born;urodzony
babble;paplać
babe;dziecię
baboon;pawian
baby;niemowlę
babyhood;niemowlęctwo
babyish;dziecinny
baby-sit;opiekować się dziećmi pod nieobecność rodziców
baby-sitter;opiekun do dziecka
baby-sitting;opiekowanie się dziećmi
bachelor;stary kawaler
back;w tył
backbiting;obmowa
backbone;kręgosłup
back-breaking;mozolny
backdate;antedatować
backdoor;zakulisowy
backer;sponsor
backfire;obracać się przeciw komuś
background;tło
backhand;bekhend
backhanded;z bekhendu
backing;poparcie
backlash;przeciwreakcja
backlog;zaległości
backpack;plecak
backside;tyłek
backstage;kulisy
backstreet;nielegalny
backstroke;styl grzbietowy
back-up;wspomaganie
backward;w tył
backward-looking;wsteczny
backwater;zaścianek
backwoods;głusza
backyard;podwórko
bacon;bekon
bacteria;bakterie
bad;zły
badge;znaczek
badger;borsuk
badly;źle
baffle;być zaskoczonym
bag;torba
baggage;bagaż
baggy;wypchany
bagpipes;dudy
bail;kaucja
bailiff;komornik
bait;przynęta
bake;piec
baked beans;fasolka po bretońsku
baker;piekarz
bakery;piekarnia
baking;pieczenie
balance;równowaga
balcony;balkon
bald;łysy
balding;łysiejący
baldly;bez ogródek
bale;wiązka
balk;zapierać się
Balkan;bałkański
ball;piłka
ballad;ballada
ballast;balast
ballet;balet
balloon;balon
ballot;tajne głosowanie
ballroom;sala balowa
balm;balsam
balmy;balsamiczny
Baltic;bałtycki
balustrade;balustrada
bamboo;bambus
bamboozle;wpuszczać w maliny
ban;zakazać
banal;banalny
banality;banalność
banana;banan
band;grupa
bandage;bandaż
bed and breakfast;zakwaterowanie z wyżywieniem
bandit;rozbójnik
bandstand;podium dla orkiestry
bandy about;powtarzać
bandy-legged;krzywonogi
bang;huk
banger;kiełbacha
bangle;bransoleta
banish;wypędzać na banicję
banishment;banicja
banister;poręcz
banjo;bandżo
bank;bank
banker;bankowiec
banking;bankowość
banknote;banknot
bankrupt;zbankrutowany
bankruptcy;bankructwo
banner;transparent
bannister;poręcz
banquet;bankiet
banter;paplać
baptism;chrzest
baptize;chrzcić
bar;bar
barb;grot
barbarian;barbarzyńca
barbaric;barbarzyński
barbarism;barbarzyństwo
barbarous;prymitywny
barbecue;grill
barbed;z przycinkami
barber;fryzjer męski
bare;goły
bareback;na oklep
barefaced;bezwstydny
barefoot;bosy
barely;ledwo
barge;barka
baritone;baryton
bark;szczekać
barley;jęczmień
barmaid;barmanka
barn;stodoła
barnacle;wąsonóg
barometer;barometr
baron;baron
baroness;baronowa
baroque;barok
barrister;adwokat
barrack;zakrzykiwać
barrage;zapora
barrel;beczka
barren;jałowy
barricade;barykada
barrier;bariera
barring;wyjąwszy
barrister;adwokat
barrow;taczka
bartender;barman
barter;wymieniać
base;opierać się
baseless;bezpodstawny
basement;suterena
bash;grzmocić
bashful;płochliwy
basic;podstawowy
basically;zasadniczo
basin;miska
basis;podstawa
basket;koszyk
basketball;koszykówka
bass;bas
bassoon;fagot
bastard;bękart
baste;polewać tłuszczem
bastion;bastion
bat;paletka
batch;grupa
bated;z zapartym tchem
bath;wanna
bathe;kąpać się
bather;kąpiący się
bathing suit;kostium kąpielowy
bathrobe;płaszcz kąpielowy
bathroom;łazienka
bathtub;wanna
baton;batuta
battalion;batalion
batter;bić
battery;bateria
battle;bitwa
battlefield;pole bitwy
battleground;teren walki
battlements;blanki
battleship;okręt wojenny
batty;trzepnięty
bauble;błyskotka
baud;bod
baulk;zapierać się
bawdy;rubaszny
bawl;drzeć się
bay;zatoka
bayonet;bagnet
bazaar;bazar
bazooka;rusznica przeciwpancerna
beach;plaża
beacon;sygnał świetlny
bead;paciorek
beak;dziób
beaker;kubek plastikowy
beam;rozpromieniać się
bearable;do wytrzymania
beard;broda
bearded;brodaty
bearer;tragarz
bearing;postawa
beast;zwierzę
beastly;paskudny
beat;bić
beating;pobicie
beautician;kosmetyczka
beautiful;piękny
beautify;upiększać
beauty;piękno
beaver;bóbr
because;ponieważ
beck;na każde zawołanie kogoś
beckon;dać znak
become;stawać się
becoming;stosowny
bed;łóżko
bedbug;pluskwa
bedclothes;pościel
bedding;pościel
bedevil;być gnębionym przez
bedfellow;kompan
bedlam;dom wariatów
bedraggled;obdarty
bedridden;przykuty do łóżka
bedrock;podwaliny
bedroom;sypialnia
bedside;miejsce przy łóżku
bedsitter;kawalerka
bedspread;narzuta na łóżko
bedtime;pora snu
bee;pszczoła
beech;buk
beef;wołowina
beefsteak;befsztyk
beefy;umięśniony
beehive;ul
beeline;puścić się prosto dokądś
been;on był w Paryżu
beer;piwo
beet;burak pastewny
beetle;żuk
beetroot;burak ćwikłowy
befall;przydarzyć się
befit;wypadać komuś
before;przed
beforehand;uprzednio
befriend;zaprzyjaźnić się
befuddle;zamraczać
beggar;żebrak
beginner;początkujący
beginning;początek
begrudge;mieć za złe
beguile;łudzić
behave;zachowywać się
behaviour;zachowanie się
behead;być ściętym
behind;za
behold;oglądać
beholder;obserwator
beige;beż
Beijing;Pekin
being;istota
Belarus;Białoruś
belated;spóźniony
beleaguered;osaczony
belfry;dzwonnica
Belgian;belgijski
Belgium;Belgia
belie;zadawać kłam
belief;wiara
believable;wiarogodny
believe;sądzić
believer;zwolennik
belittle;pomniejszać
bell;dzwonek
belligerent;wojowniczy
bellow;ryczeć
bellows;miech
belly;brzuch
belong;należeć
belongings;czyjeś rzeczy
Belorussia;Białoruś
Belorussian;białoruski
beloved;ukochany
below;poniżej
belt;pas
bemoan;opłakiwać
bemused;oszołomiony
bench;ławka
bend;schylać się
beneath;pod
benefactor;dobroczyńca
beneficial;dobroczynny
beneficiary;spadkobierca
benefit;korzyść
benevolence;wyrozumiałość
benevolent;łagodny
benign;łagodny
bequeath;przekazać w spadku
bequest;zapis
bereaved;osamotniony
bereavement;strata
bereft;pozbawiony
beret;beret
berry;jagoda
berserk;dostać amoku
berth;stanowisko
beseech;upraszać
beseeching;błagalny
beset;osaczać
besides;obok
best;najlepszy
bestial;bestialski
bestman;drużba
bestow;obdarzyć
best-seller;bestseler
bet;stawiać
betray;zdradzać
betrayal;zdrada
betrothed;zaręczony
between;pomiędzy
bevel;ukos
beverage;napój
beware;strzec się
bewildered;oszołomiony
bewilderment;zaskoczenie
bewitch;oczarowywać
bias;nastawienie
biased;stronniczy
bib;śliniak
Bible;Biblia
Biblical;biblijny
bibliographical;bibliografia
bibliography;bibliografia
bicentenary;dwustulecie
bicentennial;dwustulecie
biceps;bicepsy
bicker;sprzeczać się
bicycle;rower
bidder;oferent
bide;czekać na sposobność
big;duży
biggish;spory
bigot;bigot
bigoted;fanatyczny
bigotry;bigoteria
bigwig;szycha
bike;rower
bile;żółć
bilingual;dwujęzyczny
bilious;odpychający
bill;rachunek
billboard;tablica na reklamy afisze
billiard;bilardowy
billiards;bilard
billion;miliard
billionaire;miliarder
billow;nadymać się
